Player_ID,Player_Name,Age,Gender,Skill_Level,Sport,City,Neighborhood,Available_Days,Available_Times,Hours_Available,Competitive_Level
ID_10023,سلمان الخثعمي,37,ذكر,متوسط,تنس,الطائف,الوسام,"الاثنين, الثلاثاء, الخميس, الأحد","ليلاً, عصرًا",1,ودي
ID_10024,ريم المالكي,21,أنثى,متقدم,سلة,المدينة,القصواء,"الأربعاء, الأحد, السبت, الاثنين",صباحًا,3,ودي
ID_10025,سالم الخثعمي,36,ذكر,محترف,سلة,جدة,السلامة,السبت,"ظهرًا, عصرًا",3,تنافسي
ID_10026,بدر القحطاني,23,أنثى,متوسط,كرة الطائرة,الطائف,شهار,"الأحد, الأربعاء, الاثنين, السبت","مساءً, ظهرًا, صباحًا",4,احترافي
ID_10027,ريم الدوسري,31,أنثى,متقدم,كرة الطائرة,جدة,الفيصلية,"السبت, الخميس, الاثنين","ظهرًا, صباحًا, ليلاً",3,احترافي
ID_10028,راكان الخثعمي,40,ذكر,متوسط,بادل,تبوك,الفيصلية,"الثلاثاء, الخميس","مساءً, صباحًا",4,احترافي
ID_10029,سعيد الحربي,26,ذكر,متقدم,سلة,بريدة,الرابية,"السبت, الأربعاء, الجمعة, الخميس","صباحًا, ليلاً",4,تنافسي
ID_10030,سلمان الغامدي,34,ذكر,محترف,سكواش,مكة,الشوقية,"الثلاثاء, الخميس, الجمعة, الأربعاء","عصرًا, صباحًا, ليلاً",2,تنافسي
ID_10031,ريم الشمراني,39,ذكر,محترف,بادل,مكة,الزاهر,"الأحد, الخميس","صباحًا, ليلاً, ظهرًا",4,ودي
ID_10032,لولوة الشمراني,23,ذكر,مبتدئ,سكواش,أبها,المروج,"الثلاثاء, الخميس","عصرًا, ليلاً",5,ودي
ID_10033,علي الهاجري,38,أنثى,متقدم,سكواش,مكة,الزاهر,السبت,عصرًا,5,ودي
ID_10034,عبدالرحمن الخثعمي,44,أنثى,متقدم,سكواش,الخبر,الخزامى,"الأربعاء, الجمعة, الاثنين, الخميس","مساءً, ظهرًا",5,ودي
ID_10035,هند المالكي,28,أنثى,محترف,بادل,الطائف,الوسام,"الثلاثاء, السبت, الأربعاء, الخميس","عصرًا, ليلاً",5,احترافي
ID_10036,سعيد الشمراني,19,أنثى,مبتدئ,كرة القدم,جدة,النسيم,الاثنين,"مساءً, عصرًا, ظهرًا",1,تنافسي
ID_10037,رزان السبيعي,35,أنثى,متوسط,سلة,الرياض,الملز,الثلاثاء,ليلاً,1,احترافي
ID_10038,علي العتيبي,33,أنثى,متوسط,تنس,الطائف,الوسام,"السبت, الثلاثاء","عصرًا, ليلاً",4,احترافي
ID_10039,جمال السبيعي,36,ذكر,محترف,تنس طاولة,بريدة,الريان,"الخميس, الجمعة, الأحد",ليلاً,5,ودي
ID_10040,مها الغامدي,18,أنثى,محترف,كرة الطائرة,الرياض,السويدي,"الجمعة, السبت, الخميس, الثلاثاء","مساءً, ليلاً, عصرًا",2,ودي
ID_10041,نورة العسيري,27,ذكر,محترف,تنس,أبها,الخالدية,"السبت, الثلاثاء","صباحًا, مساءً",3,احترافي
ID_10042,ياسر العنزي,32,أنثى,مبتدئ,كرة الطائرة,الطائف,الوسام,"الجمعة, الأحد, الأربعاء, السبت","ليلاً, ظهرًا",1,تنافسي
ID_10043,راكان الخثعمي,44,ذكر,محترف,تنس طاولة,الطائف,الوسام,"الأربعاء, الخميس","ليلاً, ظهرًا",3,احترافي
ID_10044,طارق الشمراني,31,ذكر,مبتدئ,تنس طاولة,تبوك,الشمال,"الخميس, الاثنين, الأحد","مساءً, ليلاً",5,تنافسي
ID_10045,طارق الهاجري,23,أنثى,مبتدئ,سكواش,المدينة,العزيزية,"السبت, الأحد, الأربعاء, الاثنين",مساءً,5,تنافسي
ID_10046,شهد القرشي,27,أنثى,مبتدئ,تنس,الرياض,النخيل,الخميس,"ليلاً, مساءً",4,احترافي
ID_10047,تركي العتيبي,36,أنثى,محترف,تنس,المدينة,الخالدية,"الاثنين, الخميس",عصرًا,4,احترافي
ID_10048,علي السبيعي,22,ذكر,مبتدئ,سكواش,أبها,السروات,الخميس,"عصرًا, ليلاً, مساءً",5,ودي
ID_10049,محمد الخثعمي,24,ذكر,مبتدئ,كرة القدم,تبوك,النهضة,"الثلاثاء, السبت, الأربعاء","مساءً, صباحًا, ليلاً",4,احترافي
ID_10050,ريم العنبر,18,أنثى,متقدم,سكواش,أبها,الخالدية,"الأحد, الخميس, الاثنين, الأربعاء","ظهرًا, صباحًا",2,احترافي
ID_10051,لولوة القرشي,37,ذكر,محترف,كرة القدم,الخبر,العقربية,الأحد,ليلاً,2,ودي
ID_10052,جواهر القرشي,41,أنثى,مبتدئ,سكواش,الخبر,العقربية,"الخميس, الاثنين","ليلاً, صباحًا",2,تنافسي
ID_10053,رزان العتيبي,35,أنثى,مبتدئ,كرة الطائرة,الخبر,الخبر الشمالية,السبت,صباحًا,5,تنافسي
ID_10054,عبدالرحمن الهاجري,32,أنثى,مبتدئ,بادل,أبها,الضباب,"الجمعة, الأحد","صباحًا, عصرًا",4,ودي
ID_10055,سلمان الهاجري,41,ذكر,متقدم,كرة القدم,الخبر,العقربية,"الأحد, الاثنين, الثلاثاء",ليلاً,4,تنافسي
ID_10056,أحمد الهاجري,37,ذكر,مبتدئ,تنس طاولة,أبها,المروج,"الجمعة, الخميس, الثلاثاء","ليلاً, صباحًا",2,ودي
ID_10057,جواهر الهاجري,31,ذكر,محترف,سكواش,بريدة,الوسيطى,"الجمعة, الخميس, الأربعاء",عصرًا,1,تنافسي
ID_10058,سلمان الخثعمي,26,ذكر,متقدم,سكواش,أبها,الضباب,"الأربعاء, الجمعة, الأحد, الثلاثاء","صباحًا, ظهرًا, ليلاً",1,احترافي
ID_10059,أحمد الهاجري,40,ذكر,مبتدئ,بادل,مكة,الشوقية,"الجمعة, الثلاثاء, الاثنين",صباحًا,3,احترافي
ID_10060,هند الخثعمي,28,أنثى,مبتدئ,سلة,أبها,النميص,"الاثنين, الخميس","عصرًا, ظهرًا, مساءً",5,تنافسي
ID_10061,ماجد الشمراني,40,أنثى,متوسط,بادل,بريدة,الرابية,"الاثنين, السبت, الأربعاء, الخميس","ظهرًا, صباحًا, ليلاً",1,ودي
ID_10062,علي السبيعي,29,أنثى,محترف,تنس طاولة,تبوك,الفيصلية,"الثلاثاء, الجمعة, الخميس","ظهرًا, عصرًا",4,ودي
ID_10063,سلمان الهاجري,31,ذكر,محترف,سلة,الخبر,الدوحة,"الجمعة, الخميس, الأحد",ليلاً,5,تنافسي
ID_10064,ماجد الشمراني,35,ذكر,محترف,كرة القدم,بريدة,المنتزه,"الثلاثاء, الأربعاء, الاثنين, الأحد","مساءً, صباحًا",2,احترافي
ID_10065,سلمان السبيعي,42,ذكر,مبتدئ,كرة الطائرة,جدة,الفيصلية,الجمعة,"ظهرًا, ليلاً",2,تنافسي
ID_10066,ريم الحربي,33,أنثى,مبتدئ,تنس طاولة,الدمام,الريان,"الأحد, الاثنين","مساءً, عصرًا, ظهرًا",4,احترافي
ID_10067,لولوة العتيبي,39,أنثى,متقدم,كرة الطائرة,الخبر,الحزام الذهبي,"الجمعة, الاثنين","ظهرًا, ليلاً, مساءً",2,ودي
ID_10068,عبدالله العنزي,19,أنثى,مبتدئ,كرة القدم,جدة,الفيصلية,الخميس,"صباحًا, مساءً",2,تنافسي
ID_10069,راكان الدوسري,19,أنثى,متوسط,تنس,مكة,الزاهر,"الأحد, الأربعاء, الخميس, الثلاثاء","عصرًا, ليلاً, صباحًا",5,احترافي
ID_10070,ريم الدوسري,38,ذكر,محترف,كرة الطائرة,جدة,السلامة,"الأحد, الثلاثاء",عصرًا,1,تنافسي
ID_10071,فاطمة العنبر,27,أنثى,مبتدئ,سكواش,تبوك,الشمال,"الاثنين, السبت, الأربعاء, الخميس","ظهرًا, ليلاً, مساءً",3,احترافي
ID_10072,سعيد الهاجري,44,أنثى,محترف,كرة الطائرة,الرياض,الملز,"الأربعاء, الاثنين, الجمعة, الثلاثاء",ظهرًا,5,احترافي
ID_10073,ماجد الحربي,44,أنثى,مبتدئ,بادل,الخبر,الخبر الشمالية,"الأربعاء, الخميس","صباحًا, ظهرًا, عصرًا",2,تنافسي
ID_10074,ياسر الهاجري,43,ذكر,محترف,سكواش,الخبر,الخزامى,الجمعة,"ليلاً, ظهرًا, صباحًا",5,تنافسي
ID_10075,نايف القرشي,27,أنثى,مبتدئ,سلة,الرياض,العليا,"الأحد, السبت, الأربعاء",مساءً,1,ودي
ID_10076,بدر القحطاني,33,ذكر,مبتدئ,سكواش,أبها,المروج,"الجمعة, الثلاثاء, الأحد, السبت","عصرًا, صباحًا",4,ودي
ID_10077,سارة القرشي,30,ذكر,متقدم,تنس,الخبر,الحزام الذهبي,"الأربعاء, الثلاثاء","ظهرًا, ليلاً",1,تنافسي
ID_10078,سلمان العتيبي,44,ذكر,متوسط,كرة القدم,أبها,النميص,"الأحد, السبت, الاثنين",عصرًا,1,احترافي
ID_10079,رزان العسيري,30,أنثى,متقدم,سكواش,مكة,الشوقية,"الاثنين, الأربعاء","ظهرًا, مساءً",2,تنافسي
ID_10080,نايف الدوسري,25,ذكر,محترف,كرة القدم,الدمام,الريان,الأحد,ليلاً,5,ودي
ID_10081,فاطمة الشمراني,34,أنثى,متوسط,تنس طاولة,الخبر,العقربية,"الثلاثاء, الأحد, الاثنين","عصرًا, ظهرًا",5,تنافسي
ID_10082,سعيد العتيبي,37,ذكر,محترف,سلة,الخبر,الحزام الذهبي,"الأربعاء, الخميس","ظهرًا, ليلاً",3,احترافي
ID_10083,بدر الدوسري,34,أنثى,محترف,بادل,الخبر,الخزامى,"الجمعة, الثلاثاء, الأحد, الأربعاء","صباحًا, عصرًا",2,ودي
ID_10084,خالد الدوسري,42,أنثى,متقدم,كرة الطائرة,الدمام,الجامعيين,"الخميس, الاثنين","صباحًا, عصرًا",4,تنافسي
ID_10085,مها السبيعي,19,أنثى,مبتدئ,سلة,الخبر,الدوحة,"السبت, الأحد, الاثنين, الخميس",مساءً,3,احترافي
ID_10086,طارق الحربي,30,ذكر,متوسط,سكواش,مكة,الشوقية,"الثلاثاء, الجمعة, الخميس, الاثنين","صباحًا, ظهرًا, مساءً",5,ودي
ID_10087,أحمد الدوسري,22,أنثى,متقدم,سكواش,مكة,الكعكية,"الجمعة, السبت","عصرًا, ظهرًا, صباحًا",4,ودي
ID_10088,سالم الخثعمي,40,أنثى,محترف,تنس طاولة,المدينة,العزيزية,"الأربعاء, الجمعة, الاثنين","صباحًا, ليلاً, مساءً",2,احترافي
ID_10089,سعيد العسيري,42,أنثى,مبتدئ,تنس,أبها,الخالدية,"الثلاثاء, الأربعاء, الأحد, الخميس","ليلاً, صباحًا, ظهرًا",1,ودي
ID_10090,سارة القحطاني,35,ذكر,متقدم,سلة,أبها,النميص,"الأحد, الاثنين","صباحًا, ليلاً",1,ودي
ID_10091,ناصر الغامدي,38,أنثى,محترف,كرة القدم,مكة,العوالي,"الاثنين, الثلاثاء, الأربعاء","عصرًا, ليلاً, صباحًا",5,ودي
ID_10092,ماجد القرشي,39,أنثى,متقدم,سكواش,المدينة,العزيزية,"السبت, الثلاثاء, الجمعة","ليلاً, عصرًا",2,احترافي
ID_10093,رزان العسيري,42,أنثى,متقدم,كرة القدم,المدينة,الدويمة,"الثلاثاء, الجمعة",ظهرًا,3,تنافسي
ID_10094,ريم القحطاني,27,أنثى,متقدم,سكواش,مكة,العوالي,"الأربعاء, الثلاثاء, الأحد, الاثنين",عصرًا,1,تنافسي
ID_10095,ناصر الخثعمي,32,أنثى,محترف,بادل,الخبر,العقربية,"الجمعة, الثلاثاء, الأحد, السبت",ظهرًا,4,ودي
ID_10096,طارق الحربي,29,أنثى,متقدم,بادل,المدينة,العزيزية,"الخميس, الثلاثاء, السبت","ليلاً, عصرًا",3,تنافسي
ID_10097,فاطمة العنبر,22,ذكر,متقدم,كرة الطائرة,مكة,الشوقية,الجمعة,عصرًا,2,تنافسي
ID_10098,مها الدوسري,24,ذكر,متوسط,كرة الطائرة,جدة,النسيم,السبت,"صباحًا, عصرًا, ظهرًا",2,تنافسي
ID_10099,طارق الدوسري,20,أنثى,مبتدئ,تنس طاولة,أبها,السروات,الأربعاء,"مساءً, ظهرًا, صباحًا",1,ودي
ID_10100,راكان القرشي,35,أنثى,مبتدئ,كرة الطائرة,مكة,الكعكية,"الخميس, الأحد, السبت, الاثنين","ليلاً, مساءً, ظهرًا",4,ودي
ID_10101,عبدالله الهاجري,37,ذكر,مبتدئ,تنس طاولة,الدمام,النخيل,"الأحد, الأربعاء","عصرًا, ظهرًا",5,احترافي
ID_10102,هند المالكي,38,ذكر,متقدم,كرة الطائرة,بريدة,الريان,"الجمعة, الاثنين, الأحد","عصرًا, مساءً",4,احترافي
ID_10103,طارق العنبر,43,أنثى,مبتدئ,كرة الطائرة,جدة,الفيصلية,"السبت, الثلاثاء, الأربعاء","صباحًا, ليلاً, مساءً",3,ودي
ID_10104,ريم العنبر,32,ذكر,متقدم,سكواش,المدينة,الخالدية,الأربعاء,"ليلاً, ظهرًا, صباحًا",3,تنافسي
ID_10105,نايف العنزي,33,أنثى,محترف,تنس طاولة,جدة,النسيم,"الأربعاء, الأحد, الاثنين, الثلاثاء","ظهرًا, مساءً, صباحًا",4,تنافسي
ID_10106,جمال الخثعمي,23,أنثى,مبتدئ,سلة,المدينة,الخالدية,"الخميس, الجمعة, الأحد, الاثنين",ظهرًا,4,ودي
ID_10107,رزان الخثعمي,21,أنثى,مبتدئ,سكواش,المدينة,العاقول,"الخميس, السبت, الثلاثاء","ليلاً, ظهرًا",3,تنافسي
ID_10108,نايف العنبر,36,أنثى,متوسط,كرة الطائرة,الطائف,الوسام,"الأحد, الاثنين, السبت, الجمعة","عصرًا, مساءً",2,ودي
ID_10109,ناصر الدوسري,23,ذكر,متوسط,سلة,المدينة,الخالدية,الثلاثاء,"صباحًا, ظهرًا",4,تنافسي
ID_10110,أحمد العنزي,43,أنثى,متوسط,تنس طاولة,الطائف,شهار,"الأربعاء, الاثنين, الجمعة, الخميس","ظهرًا, مساءً, ليلاً",5,تنافسي
ID_10111,نورة الشمراني,36,ذكر,محترف,بادل,أبها,الضباب,الأحد,"ليلاً, ظهرًا",5,احترافي
ID_10112,تركي القحطاني,43,ذكر,متقدم,سلة,المدينة,العزيزية,الخميس,"صباحًا, عصرًا, ظهرًا",2,تنافسي
ID_10113,شهد العنزي,44,ذكر,محترف,كرة الطائرة,الرياض,السويدي,الثلاثاء,"صباحًا, مساءً, ظهرًا",3,تنافسي
ID_10114,مها القرشي,32,أنثى,متقدم,سلة,أبها,السروات,"الأحد, الاثنين","عصرًا, ليلاً",2,احترافي
ID_10115,رزان العتيبي,41,أنثى,متقدم,تنس طاولة,بريدة,النهضة,الجمعة,"ليلاً, ظهرًا, صباحًا",2,احترافي
ID_10116,مها العتيبي,41,ذكر,متوسط,كرة الطائرة,المدينة,القصواء,"الخميس, الأربعاء, الأحد, الثلاثاء",مساءً,1,تنافسي
ID_10117,مها القحطاني,18,ذكر,متوسط,تنس,بريدة,الوسيطى,"الأحد, السبت, الاثنين, الخميس","عصرًا, صباحًا",1,احترافي
ID_10118,طارق العسيري,33,أنثى,مبتدئ,تنس,جدة,النسيم,"الجمعة, الأربعاء, السبت","ظهرًا, صباحًا",2,احترافي
ID_10119,سالم المالكي,21,أنثى,متوسط,كرة القدم,الرياض,السويدي,"الأربعاء, الخميس, الثلاثاء","عصرًا, مساءً",4,تنافسي
ID_10120,حسن العنبر,32,أنثى,محترف,كرة الطائرة,المدينة,العزيزية,"الأربعاء, الاثنين, الأحد","صباحًا, عصرًا, ظهرًا",1,احترافي
ID_10121,عبدالله العسيري,25,أنثى,متقدم,تنس,الطائف,شهار,"السبت, الأربعاء, الثلاثاء, الخميس","مساءً, ليلاً, ظهرًا",1,احترافي
ID_10122,ياسر الدوسري,21,ذكر,مبتدئ,سلة,مكة,الكعكية,"الاثنين, الأربعاء, الخميس, الجمعة",ظهرًا,5,ودي
ID_10123,سارة العنبر,41,ذكر,متوسط,سلة,الدمام,الخليج,"الاثنين, الأحد, الثلاثاء, السبت",ليلاً,3,تنافسي
ID_10124,فاطمة السبيعي,29,أنثى,متوسط,كرة القدم,بريدة,النهضة,"السبت, الجمعة",عصرًا,3,تنافسي
ID_10125,أحمد العسيري,35,ذكر,محترف,تنس,الدمام,الجامعيين,الأربعاء,"عصرًا, ليلاً, صباحًا",1,احترافي
ID_10126,عبدالرحمن العتيبي,32,ذكر,مبتدئ,تنس طاولة,الدمام,الشاطئ,"الاثنين, الثلاثاء, الأربعاء, السبت","ليلاً, مساءً, صباحًا",1,تنافسي
ID_10127,طارق القرشي,38,ذكر,محترف,كرة القدم,بريدة,النهضة,الجمعة,عصرًا,5,ودي
ID_10128,نايف الشمراني,19,ذكر,مبتدئ,سكواش,الطائف,الوسام,"الجمعة, الأحد, الثلاثاء","صباحًا, مساءً, ليلاً",1,تنافسي
ID_10129,راكان العنبر,37,أنثى,محترف,تنس,الخبر,الحزام الذهبي,"الثلاثاء, السبت, الجمعة","مساءً, عصرًا",5,تنافسي
ID_10130,رزان الهاجري,44,ذكر,متوسط,سلة,بريدة,النهضة,"الاثنين, الثلاثاء, الجمعة",عصرًا,3,احترافي
ID_10131,جمال العتيبي,33,ذكر,متقدم,كرة القدم,أبها,السروات,"الأربعاء, الخميس","مساءً, عصرًا, ليلاً",3,تنافسي
ID_10132,فاطمة العنزي,36,أنثى,مبتدئ,سلة,مكة,الكعكية,"السبت, الجمعة, الثلاثاء, الأربعاء","عصرًا, ظهرًا",1,ودي
ID_10133,ناصر العنزي,33,أنثى,مبتدئ,تنس طاولة,الطائف,الوسام,"الخميس, السبت","مساءً, ليلاً",5,تنافسي
ID_10134,خالد القرشي,43,أنثى,متقدم,كرة القدم,تبوك,النهضة,"الاثنين, الأربعاء, السبت, الجمعة","عصرًا, مساءً",4,تنافسي
ID_10135,عبدالله العسيري,18,أنثى,متوسط,كرة القدم,الطائف,شهار,الخميس,"عصرًا, ظهرًا, مساءً",5,ودي
ID_10136,شهد السبيعي,22,ذكر,متقدم,تنس طاولة,جدة,الفيصلية,"السبت, الخميس",ليلاً,3,تنافسي
ID_10137,شهد الهاجري,26,ذكر,مبتدئ,بادل,أبها,السروات,"الاثنين, الأحد",مساءً,3,احترافي
ID_10138,نورة العتيبي,25,ذكر,متقدم,سكواش,الدمام,النخيل,الاثنين,"صباحًا, مساءً",3,ودي
ID_10139,خالد العنبر,43,أنثى,مبتدئ,تنس طاولة,الخبر,الخزامى,"الجمعة, الاثنين",مساءً,4,ودي
ID_10140,بدر الشمري,29,ذكر,متوسط,تنس طاولة,مكة,الزاهر,"الأربعاء, الجمعة","مساءً, صباحًا, ليلاً",2,احترافي
ID_10141,سالم الدوسري,18,ذكر,مبتدئ,كرة القدم,بريدة,الرابية,"الخميس, الثلاثاء, الأربعاء","عصرًا, ليلاً",3,احترافي
ID_10142,ماجد العسيري,36,ذكر,متقدم,سلة,الخبر,الخزامى,الاثنين,"صباحًا, مساءً, ظهرًا",1,احترافي
ID_10143,خالد الشمراني,25,ذكر,متوسط,سلة,تبوك,الورود,الأربعاء,"صباحًا, مساءً, ليلاً",3,ودي
ID_10144,طارق الدوسري,19,ذكر,متوسط,تنس طاولة,المدينة,القصواء,"السبت, الأربعاء, الاثنين",مساءً,2,تنافسي
ID_10145,سلمان الخثعمي,35,ذكر,مبتدئ,تنس طاولة,الرياض,العليا,الخميس,"عصرًا, مساءً",1,ودي
ID_10146,جمال المالكي,19,ذكر,مبتدئ,تنس طاولة,الرياض,السويدي,"السبت, الجمعة",مساءً,2,ودي
ID_10147,ريم الهاجري,30,ذكر,متوسط,سكواش,بريدة,الريان,"الثلاثاء, الجمعة, الاثنين","صباحًا, ليلاً",2,ودي
ID_10148,هند العتيبي,29,أنثى,مبتدئ,كرة القدم,الخبر,العقربية,"الأحد, الخميس",عصرًا,4,تنافسي
ID_10149,نايف القحطاني,35,أنثى,متقدم,سكواش,جدة,الصفا,"الثلاثاء, الخميس, الاثنين, الأحد",عصرًا,4,تنافسي
ID_10150,ياسر العسيري,39,ذكر,متقدم,سلة,بريدة,الرابية,"السبت, الجمعة","ليلاً, صباحًا",1,احترافي
ID_10151,بدر المالكي,41,ذكر,مبتدئ,سلة,الخبر,الحزام الذهبي,"الأربعاء, السبت, الخميس, الثلاثاء","ليلاً, صباحًا, مساءً",3,ودي
ID_10152,نورة الحربي,44,ذكر,مبتدئ,سلة,الدمام,الجامعيين,"الثلاثاء, السبت",ليلاً,1,احترافي
ID_10153,سارة الشمري,21,ذكر,محترف,سلة,المدينة,القصواء,الثلاثاء,مساءً,1,تنافسي
ID_10154,تركي العتيبي,41,أنثى,محترف,كرة القدم,جدة,الحمراء,"السبت, الجمعة","صباحًا, ظهرًا",1,ودي
ID_10155,علي السبيعي,32,ذكر,محترف,تنس طاولة,الطائف,الوسام,"الجمعة, الخميس","صباحًا, ظهرًا, ليلاً",3,ودي
ID_10156,خالد الشمراني,40,ذكر,متقدم,تنس طاولة,الخبر,الدوحة,"الثلاثاء, السبت, الأربعاء","ظهرًا, صباحًا",2,ودي
ID_10157,ماجد العتيبي,29,ذكر,متوسط,تنس طاولة,تبوك,النهضة,الأربعاء,"عصرًا, مساءً, ظهرًا",5,ودي
ID_10158,بدر القرشي,32,ذكر,متوسط,تنس طاولة,الطائف,قروى,"الجمعة, السبت, الخميس","صباحًا, عصرًا, ظهرًا",4,احترافي
ID_10159,طارق الهاجري,34,ذكر,متوسط,تنس,الخبر,الخبر الشمالية,"السبت, الخميس, الثلاثاء","صباحًا, عصرًا, مساءً",1,احترافي
ID_10160,هند الشمراني,28,أنثى,مبتدئ,كرة الطائرة,تبوك,النهضة,"الأحد, الأربعاء, الاثنين, الثلاثاء","ظهرًا, صباحًا",5,تنافسي
ID_10161,مها العنزي,36,ذكر,متوسط,كرة القدم,بريدة,الوسيطى,"الاثنين, الجمعة","مساءً, ظهرًا",4,تنافسي
ID_10162,محمد الخثعمي,23,ذكر,متوسط,كرة القدم,الخبر,الدوحة,الخميس,"صباحًا, ظهرًا",2,تنافسي
ID_10163,رزان العنبر,27,ذكر,متوسط,بادل,الدمام,الريان,"الخميس, الجمعة, الاثنين, الأحد",ليلاً,3,احترافي
ID_10164,لولوة الشمري,44,أنثى,متقدم,كرة الطائرة,مكة,بطحاء قريش,"الجمعة, الاثنين, الأربعاء, الخميس",ظهرًا,3,تنافسي
ID_10165,حسن العنبر,32,ذكر,محترف,تنس,الطائف,قروى,"الثلاثاء, السبت, الأربعاء","مساءً, صباحًا",4,تنافسي
ID_10166,بدر القرشي,22,ذكر,مبتدئ,تنس طاولة,الخبر,الخبر الشمالية,"الأحد, السبت, الأربعاء, الثلاثاء",ليلاً,3,ودي
ID_10167,لولوة العتيبي,25,أنثى,مبتدئ,سكواش,الطائف,الوسام,"الثلاثاء, الأربعاء, الجمعة","عصرًا, مساءً",2,تنافسي
ID_10168,نورة السبيعي,36,أنثى,مبتدئ,سلة,أبها,النميص,"السبت, الاثنين, الجمعة",مساءً,2,ودي
ID_10169,راكان الدوسري,32,أنثى,محترف,تنس,الرياض,النخيل,"الاثنين, الثلاثاء, الأحد, الخميس",عصرًا,4,احترافي
ID_10170,ماجد القرشي,31,أنثى,متوسط,كرة الطائرة,الدمام,الريان,"الأحد, الجمعة, الخميس","صباحًا, مساءً",2,ودي
ID_10171,رزان القرشي,43,أنثى,محترف,سلة,تبوك,العليا,"الجمعة, الثلاثاء",مساءً,4,احترافي
ID_10172,سلمان القحطاني,34,ذكر,محترف,تنس,الخبر,الدوحة,الجمعة,"عصرًا, ظهرًا",3,ودي
ID_10173,عبدالرحمن الغامدي,44,ذكر,مبتدئ,بادل,جدة,السلامة,"الاثنين, الخميس, الأحد","مساءً, صباحًا",2,احترافي
ID_10174,نايف العنزي,34,ذكر,محترف,بادل,جدة,الصفا,"الاثنين, الثلاثاء, الجمعة, الأحد",عصرًا,3,تنافسي
